CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
C10001,40.900749,0.818182,95.4,0,95.4,0,0.166667,0,0.083333,0,0,2,1000,201.802084,139.509787,0,12,1,TRANSFER,181,C1305486145,181,0,C553264065,0,0,1
C10002,3202.467416,0.909091,0,0,0,6442.945483,0,0,0,0.25,4,0,7000,4103.032597,1072.340217,0.222222,12,1,CASH_OUT,181,C840083671,181,0,C38997010,21182,0,1
C10003,2495.148862,1,773.17,773.17,0,0,1,1,0,0,0,12,7500,622.066742,627.284787,0,12,1,TRANSFER,2806,C1420196421,2806,0,C972765878,0,0,1
C10004,1666.670542,0.636364,1499,1499,0,205.788017,0.083333,0.083333,0,0.083333,1,1,7500,0,,0,12,1,CASH_OUT,2806,C2101527076,2806,0,C1007251739,26202,0,1
C10005,817.714335,1,16,16,0,0,0.083333,0.083333,0,0,0,1,1200,678.334763,244.791237,0,12,1,TRANSFER,20128,C137533655,20128,0,C1848415041,0,0,1
C10006,1809.828751,1,1333.28,0,1333.28,0,0.666667,0,0.583333,0,0,8,1800,1400.05777,2407.246035,0,12,1,CASH_OUT,20128,C1118430673,20128,0,C339924917,6268,12145.85,1
C10007,627.260806,1,7091.01,6402.63,688.38,0,1,1,1,0,0,64,13500,6354.314328,198.065894,1,12,1,CASH_OUT,416001.33,C749981943,0,0,C667346055,102,9291619.62,1
C10008,1823.652743,1,436.2,0,436.2,0,1,0,1,0,0,12,2300,679.065082,532.03399,0,12,1,TRANSFER,1277212.77,C1334405552,1277212.77,0,C431687661,0,0,1
C10009,1014.926473,1,861.49,661.49,200,0,0.333333,0.083333,0.25,0,0,5,7000,688.278568,311.963409,0,12,1,CASH_OUT,1277212.77,C467632528,1277212.77,0,C716083600,0,2444985.19,1
C10010,152.225975,0.545455,1281.6,1281.6,0,0,0.166667,0.166667,0,0,0,3,11000,1164.770591,100.302262,0,12,1,TRANSFER,35063.63,C1364127192,35063.63,0,C1136419747,0,0,1
