product_id,product_category_name,month_year,qty,unit_price,freight_price,total_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price
800230,sports,2022-03-07,9,426.26,95.79,3836.34,23,231,2,1878,1.5,30,0,0,0,3,2022,0.985,5196,414.11,0.04,87.16,482.23,0.15,90.29,479.95,0.79,44.36,442.05
704668,beauty,2023-07-19,1,133.41,13.24,133.41,15,210,2,4223,4.2,29,2,0,0,7,2023,0.844,1132,133.06,0.35,11.2,146.75,0.47,29.51,140.27,0.7,19.93,144.59
936938,sports,2023-04-23,13,525.18,77.62,6827.34,17,162,5,3578,5.0,79,6,1,0,4,2023,0.408,2301,627.4,0.69,89.29,508.2,0.23,56.96,513.65,0.79,60.2,487.63
964527,sports,2022-11-17,9,166.09,9.29,1494.81,12,90,1,943,2.4,58,3,0,0,11,2022,0.876,5349,146.07,0.42,9.93,154.66,0.69,12.74,183.92,0.83,10.58,160.75
734414,kitchen,2022-11-13,15,83.03,4.3,1245.45,22,170,1,4951,4.5,68,6,1,0,11,2022,0.434,6101,73.82,0.98,9.77,89.7,0.71,8.43,98.92,0.0,14.57,80.1
433820,furniture,2023-09-19,12,463.84,88.64,5566.08,6,150,2,741,4.1,62,1,0,0,9,2023,0.114,5162,464.94,0.03,100.09,407.94,0.01,52.4,425.45,0.24,77.11,428.3
639161,furniture,2022-03-04,15,600.17,44.21,9002.55,10,232,4,1449,4.6,38,4,0,0,3,2022,0.548,4400,545.7,0.87,124.72,675.51,0.95,119.14,520.55,0.65,31.44,607.37
482573,beauty,2023-05-25,9,773.11,123.36,6957.99,24,73,5,3673,2.7,63,3,0,0,5,2023,0.916,5286,842.45,0.13,129.57,718.54,0.93,62.9,759.23,0.45,124.11,743.2
666186,electronics,2022-05-28,1,711.07,134.54,711.07,14,25,3,2695,1.4,51,5,1,0,5,2022,0.785,2219,694.17,0.2,74.47,752.11,0.13,156.64,733.05,0.12,82.11,663.45
830909,electronics,2022-03-10,3,775.8,43.79,2327.4,8,49,3,2284,1.5,59,3,0,0,3,2022,0.402,633,889.2,0.53,174.9,741.86,0.48,74.02,726.01,0.06,42.22,701.62
432398,fashion,2023-01-20,9,691.26,96.6,6221.34,13,60,5,4638,4.1,24,4,0,0,1,2023,0.855,4036,768.69,0.87,136.66,703.03,0.21,148.98,736.74,0.94,51.11,625.6
